מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תחום,מחוז תקשוב,,,,,,,,
"117010- ביה""ס אל-פריר",ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,דאוד כסאברי,ז,1,רגיל,34,0,מתמטיקה,העיר ירושלים,,,,,,,,
118125- טור מכין לבנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,ז,1,רגיל,22,0,מתמטיקה,העיר ירושלים,,,,,,,,
118208- סלואן מכין לבנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,פאטמה פתיחה,ז,1,רגיל,26,0,מתמטיקה,העיר ירושלים,,,,,,,,
118364- איברהמיה,ירושלים,ממלכתי,העיר ירושלים,ערבי,נור ח'טיב,נהאד נאסר,ז,1,רגיל,35,0,מתמטיקה,העיר ירושלים,,,,,,,,
140087- רנה קסין דרכא,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,שגיא כהן,ז,2,רגיל,23,0,מתמטיקה,העיר ירושלים,,,,,,,,
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,5,רגיל,26,0,מתמטיקה,העיר ירושלים,,,,,,,,
148189- טרה סנטה גבשה בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,ז,1,רגיל,20,0,מתמטיקה,העיר ירושלים,,,,,,,,
160739- מנזר רוזרי,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,ז,1,רגיל,40,0,מתמטיקה,העיר ירושלים,,,,,,,,
168021- צור באהר בנות,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,ז,1,רגיל,20,0,מתמטיקה,העיר ירושלים,,,,,,,,
178194- על יסודי אלחית כפר עקב,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,ז,1,רגיל,42,0,מתמטיקה,העיר ירושלים,,,,,,,,
